web_scraper_order,web_scraper_start_url,data,data2,price,data3,data4,data5,data6,data7,data8,data9,data10,data11,price2,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,title,title2,title3,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,image,image2
"1785308298-11","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Vibration Plate Exercise Machine for Lymphatic Drainage Weight Loss,Whole Body Workout Vibration Fitness Platform,Mini Shake Plate,Sport Gym Fitness Equipment","(638)","24,957","400+ bought in past month","XAF 65,139 delivery Tue, Aug 11","(4 used & new offers)","4.2","XAF 23,957","XAF31,968","XAF 24,957","","List: XAF 31,968","XAF","4.2 out of 5 stars","Ships to Cameroon","","More Buying Choices","List:","Tue, Aug 11","Add to cart","","XAF 31,968","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/61K+ucKZzdL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-12","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","SoftGym Vibration Plate Exercise Machine for Lymphatic Drainage & Fitness | Quiet Heavy Duty 450lbs Capacity Platform, 120 Speeds Shake Machine with Resistance Bands for Home Muscle Activation","(4.9K)","38,357","2K+ bought in past month","XAF 71,115 delivery Tue, Aug 11","","4.5","","XAF46,496","XAF 38,357","See options","List Price: XAF 46,496","XAF","4.5 out of 5 stars","Ships to Cameroon","","","List Price:","Tue, Aug 11","","","XAF 46,496","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71AJGvpkQ6L._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-13","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","FitMaxx 3D XL Vibration Plate Exercise Machine - Whole Body Workout Vibration Platform w/Loop Bands - Lymphatic Drainage Machine for Weight Loss, Shaping, Recovery","(4K)","96,845","1K+ bought in past month","XAF 81,411 delivery Tue, Aug 11","(3+ used & new offers)","4.4","XAF 58,128","","XAF 96,845","","","XAF","4.4 out of 5 stars","Ships to Cameroon","","More Buying Choices","","Tue, Aug 11","Add to cart","You pay XAF 70,685","","","with coupon (some sizes/colors)","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/61vL6xKhDgL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-14","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Lifepro Rumblex Plus/Pro 4D Vibration Plate Exercise Machine with 60 Speeds | 3 Motors, 7 Training Modes, Bluetooth Speaker, Wristband Remote — Vibration Plate for Lymphatic Drainage, Muscle Activation","(6.6K)","232,530","200+ bought in past month","XAF 157,270 delivery Tue, Aug 11","(2+ used & new offers)","4.5","XAF 147,143","","XAF 232,530","","","XAF","4.5 out of 5 stars","Ships to Cameroon","","More Buying Choices","","Tue, Aug 11","","","","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/81mT+noY0LL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-15","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Lifepro Rumblex 4D Curved Vibration Plate Exercise Machine with 3 Motors | Calorie Tracking, 7 Modes, 60 Speeds, Bluetooth Speakers — Full Body Vibration Plate for Lymphatic Drainage & at Home Workout","(7.4K)","232,530","400+ bought in past month","XAF 158,427 delivery Tue, Aug 11","(2+ used & new offers)","4.6","XAF 192,255","","XAF 232,530","","","XAF","4.6 out of 5 stars","Ships to Cameroon","","More Buying Choices","","Tue, Aug 11","Add to cart","","","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/81kIgz3R1eL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-16","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Lifepro Waver Mini Vibration Plate Exercise Machine with Resistance Bands | Compact Design, 99 Speed Levels, 10 Presets, Non-Slip Surface — Vibration Plate for Lymphatic Drainage, Full Body Workout","(7.8K)","87,195","500+ bought in past month","XAF 99,979 delivery Tue, Aug 11","(2+ used & new offers)","4.6","XAF 62,192","","XAF 87,195","","","XAF","4.6 out of 5 stars","Ships to Cameroon","","More Buying Choices","","Tue, Aug 11","Add to cart","","","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/81ZDyL6qLYL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-17","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Homesy Vibration Plate Exercise Machine Shake Plate for Lymphatic Drainage | Weight Loss & Muscle Toning Home Gym Exercise Workout Equipment Remote Control Gift for Women Men Mom Dad Plastic","(395)","29,061","1K+ bought in past month","XAF 62,698 delivery Tue, Aug 11","(3+ used & new offers)","4.5","XAF 26,736","XAF46,501","XAF 29,061","","List: XAF 46,501","XAF","4.5 out of 5 stars","Ships to Cameroon","Recycled materials +2 more","More Buying Choices","List:","Tue, Aug 11","Add to cart","","XAF 46,501","","","Global Recycled Standard","Global Recycled Standard","Global Recycled Standard","Learn more about Global Recycled Standard","Learn more about Global Recycled Standard","Learn more about Global Recycled Standard","Price, product page","Sustainability features","Recycled materials","Safer chemicals","Worker well-being","This product has sustainability features recognized by trusted certifications.","Contains at least 50% recycled material.","Manufactured on farms or in facilities that protect the rights and/or health of workers.","Made with chemicals safer for human health and the environment.","Global Recycled Standard","Global Recycled Standard","Global Recycled Standard","Certification Body","Certification Number","Global Recycled Standard (GRS) certified products contain recycled content that has been independently verified at each stage of the supply chain, from the source to the final product and meet social, environmental, and chemical requirements. The purchase of Global Recycled Standard (GRS) certified products supports the use of recycled content in the supply chain. A product must contain at least 50% certified GRS material to qualify for inclusion in Climate Pledge Friendly.","SGS","TE-00319021","Certification Body","https://m.media-amazon.com/images/I/71H3I6XBdhL._AC_UY654_FMwebp_QL65_.jpg","https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png"
"1785308298-18","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","ZTT Vibration Plate Exercise Machine for Lymphatic Drainage, 450lbs | Bluetooth Speakers, Magnetic Massage,99 Speed Levels,2 Resistance Bands, Remote & Touch Control, Anti-slip Feet","(7)","29,061","400+ bought in past month","XAF 69,371 delivery Tue, Aug 11","","4.4","","XAF52,315","XAF 29,061","","Typical: XAF 52,315","XAF","4.4 out of 5 stars","Ships to Cameroon","","","Typical:","Tue, Aug 11","Add to cart","You pay XAF 27,608","XAF 52,315","","with coupon","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71kZWcrCLPL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-19","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Vibration Plate Fitness Platform Exercise Machine Vibrating Shaking Full Body Shaker Workout Vibrate Stand Shake Board Sport for Weight Loss Fat Burner for Gym Home Office","(14.2K)","52,315","500+ bought in past month","XAF 77,748 delivery Tue, Aug 11","","4.5","","XAF75,568","XAF 52,315","See options","List Price: XAF 75,568","XAF","4.5 out of 5 stars","Ships to Cameroon","","","List Price:","Tue, Aug 11","","","XAF 75,568","Best Seller","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71q91XoN2IL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-20","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Lifepro TrimLite Vibration Plate with Handles and Magnetic Acupoints | Bluetooth Speakers, 99 Speed Levels, 9 Presets, Resistance Bands — Vibration Plate for Lymphatic Drainage & Full Body Workout","(2.4K)","81,382","200+ bought in past month","XAF 101,659 delivery Tue, Aug 11","(2+ used & new offers)","4.5","XAF 70,272","","XAF 81,382","","","XAF","4.5 out of 5 stars","Ships to Cameroon","","More Buying Choices","","Tue, Aug 11","Add to cart","","","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/61S+tfeg+RL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-21","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Vibration Plate Exercise Machine, Curved Vibration Plate for Lymphatic Drainage Weight Loss, 400 Lbs Capacity Shake Platform with 250 speeds Full Body Workout Equipment for Home Women Men","(304)","29,055","700+ bought in past month","XAF 62,267 delivery Tue, Aug 11","","4.2","","XAF46,501","XAF 29,055","","List: XAF 46,501","XAF","4.2 out of 5 stars","Ships to Cameroon","","","List:","Tue, Aug 11","Add to cart","","XAF 46,501","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71UUaEb8ISL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-22","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Vibration Plate Exercise Machine for Lymphatic Drainage & Weight Loss, Heated Vibrating Platform Full Body Workout Equipment, 440lb Capacity Home Gym Shaker Board with Bluetooth & Resistance Bands","(3)","23,248","50+ bought in past month","XAF 72,098 delivery Tue, Aug 11","","3.8","","","XAF 23,248","","","XAF","3.8 out of 5 stars","Ships to Cameroon","","","","Tue, Aug 11","Add to cart","","","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/6177xWGQyHL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-23","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Vibration Plate Exercise Machine, Full Body Workout Vibrating Plate for Lymphatic Drainage Weight Loss, 460 Lbs Capacity Shake Platform with 300 speeds for Women Men","(146)","30,590","600+ bought in past month","XAF 67,470 delivery Tue, Aug 11","","4.5","","XAF33,991","XAF 30,590","","Typical: XAF 33,991","XAF","4.5 out of 5 stars","Ships to Cameroon","","","Typical:","Tue, Aug 11","Add to cart","","XAF 33,991","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71Rk9wv81bL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-24","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Vibration Plate Exercise Machine, Full Body 150W Vibration Plate for Lymphatic Drainage, 99 Adjustable Speeds, Power Vibrating Fitness Platform for Weight Loss & Fitness, Women Men","(68)","57,547","100+ bought in past month","XAF 75,318 delivery Tue, Aug 11","","4.8","","XAF75,568","XAF 57,547","","List: XAF 75,568","XAF","4.8 out of 5 stars","Ships to Cameroon","","","List:","Tue, Aug 11","Add to cart","You pay XAF 46,501","XAF 75,568","","with coupon (some sizes/colors)","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/81EQ8P7F1+L._AC_UY654_FMwebp_QL65_.jpg",""
